iter	Passed	Remaining
0	0	63
1	1	57
2	1	55
3	2	51
4	2	50
5	3	50
6	3	50
7	4	50
8	4	50
9	5	49
10	6	49
11	6	49
12	7	49
13	7	48
14	8	48
15	9	48
16	9	47
17	10	47
18	11	47
19	11	47
20	12	46
21	13	46
22	13	45
23	14	45
24	14	44
25	15	43
26	16	43
27	16	43
28	17	42
29	17	41
30	18	41
31	19	41
32	19	40
33	20	39
34	21	39
35	21	38
36	22	38
37	23	37
38	23	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	27	32
46	28	32
47	29	31
48	29	31
49	30	30
50	31	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	39	22
64	39	21
65	40	20
66	41	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	49	11
81	50	11
82	51	10
83	51	9
84	52	9
85	55	8
86	56	8
87	57	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	2
97	66	1
98	67	0
99	67	0
