iter	Passed	Remaining
0	0	652
1	1	583
2	1	551
3	2	534
4	2	532
5	3	533
6	3	531
7	4	525
8	4	520
9	5	519
10	5	517
11	6	518
12	6	519
13	7	530
14	8	528
15	8	523
16	8	520
17	9	521
18	10	517
19	10	519
20	11	518
21	11	516
22	12	514
23	12	511
24	13	509
25	13	507
26	14	508
27	14	507
28	15	506
29	15	505
30	16	503
31	16	501
32	17	500
33	17	501
34	18	507
35	18	506
36	19	505
37	19	504
38	20	503
39	20	501
40	21	500
41	21	500
42	22	499
43	22	498
44	23	497
45	23	495
46	24	494
47	24	493
48	25	493
49	25	493
50	26	492
51	26	491
52	27	490
53	27	489
54	28	488
55	28	488
56	29	487
57	30	487
58	30	486
59	30	485
60	31	484
61	31	483
62	32	484
63	33	484
64	33	484
65	34	483
66	34	482
67	35	481
68	35	481
69	36	480
70	36	480
71	37	482
72	37	481
73	38	480
74	38	479
75	39	478
76	39	477
77	40	477
78	40	476
79	41	476
80	41	475
81	42	474
82	42	471
83	43	470
84	43	469
85	44	469
86	44	469
87	45	468
88	45	468
89	46	467
90	46	467
91	47	466
92	47	465
93	48	465
94	48	465
95	49	464
96	49	463
97	50	462
98	50	461
99	51	461
100	51	460
101	52	459
102	52	459
103	53	458
104	53	457
105	54	457
106	54	456
107	55	455
108	55	455
109	56	454
110	56	454
111	57	453
112	57	452
113	58	452
114	58	451
115	59	451
116	59	450
117	60	449
118	60	448
119	61	448
120	61	447
121	62	446
122	62	446
123	63	445
124	63	445
125	64	445
126	64	443
127	65	443
128	65	442
129	66	442
130	66	441
131	67	442
132	67	441
133	68	441
134	68	440
135	69	440
136	69	439
137	70	439
138	70	439
139	71	439
140	71	438
141	72	437
142	72	436
143	73	436
144	73	435
145	74	436
146	75	436
147	75	435
148	76	435
149	77	436
150	77	437
151	78	437
152	78	437
153	79	436
154	80	436
155	80	435
156	81	435
157	81	435
158	82	435
159	82	434
160	83	433
161	83	432
162	84	431
163	84	431
164	85	430
165	85	430
166	86	430
167	86	430
168	87	429
169	87	429
170	88	429
171	89	430
172	90	431
173	90	431
174	91	430
175	91	430
176	92	429
177	93	429
178	93	429
179	94	429
180	94	428
181	95	428
182	95	427
183	96	427
184	96	427
185	97	426
186	98	426
187	98	425
188	99	424
189	99	424
190	100	423
191	100	423
192	101	423
193	101	422
194	102	421
195	102	421
196	103	420
197	103	420
198	104	420
199	104	419
200	105	418
201	105	418
202	106	417
203	106	417
204	107	416
205	108	416
206	108	416
207	109	415
208	109	415
209	110	414
210	110	413
211	111	413
212	111	412
213	112	412
214	112	411
215	113	411
216	113	410
217	114	410
218	114	409
219	115	408
220	115	408
221	116	407
222	116	407
223	117	408
224	118	407
225	118	406
226	119	406
227	119	405
228	120	405
229	120	404
230	121	403
231	121	403
232	122	402
233	122	402
234	123	401
235	123	401
236	124	400
237	124	400
238	125	399
239	125	398
240	126	398
241	127	398
242	127	398
243	128	397
244	128	396
245	129	396
246	129	395
247	130	395
248	130	394
249	131	394
250	131	393
251	132	393
252	133	392
253	133	392
254	134	392
255	134	391
256	135	391
257	135	390
258	136	390
259	137	389
260	137	389
261	138	389
262	138	389
263	139	388
264	139	388
265	140	387
266	141	387
267	141	387
268	142	386
269	142	386
270	143	386
271	144	385
272	144	385
273	145	385
